# CT14 NNLO Q=1.057
# x  w(x)  delta_w(x)
8.165824E-03  1.808995E-02  4.910556E-03
8.241381E-03  1.821942E-02  4.918271E-03
8.317638E-03  1.825010E-02  4.937120E-03
8.394600E-03  1.831236E-02  4.939943E-03
8.472274E-03  1.843167E-02  4.979472E-03
8.550667E-03  1.850055E-02  5.003342E-03
8.629785E-03  1.862363E-02  5.045082E-03
8.709636E-03  1.870433E-02  5.077495E-03
8.790225E-03  1.878674E-02  5.074925E-03
8.871560E-03  1.890588E-02  5.130918E-03
8.953648E-03  1.895442E-02  5.147814E-03
9.036495E-03  1.909292E-02  5.172287E-03
9.120108E-03  1.915942E-02  5.166189E-03
9.204496E-03  1.925613E-02  5.212133E-03
9.289664E-03  1.932923E-02  5.244545E-03
9.375620E-03  1.945807E-02  5.263591E-03
9.462372E-03  1.955070E-02  5.300513E-03
9.549926E-03  1.960938E-02  5.319494E-03
9.638290E-03  1.972967E-02  5.316824E-03
9.727472E-03  1.983291E-02  5.349838E-03
9.817479E-03  1.996444E-02  5.368104E-03
9.908319E-03  2.001989E-02  5.378450E-03
1.000000E-02  2.015183E-02  5.461943E-03
1.198397E-02  2.232378E-02  5.953506E-03
1.396794E-02  2.442691E-02  6.400455E-03
1.595190E-02  2.653510E-02  6.772166E-03
1.793587E-02  2.862600E-02  7.120459E-03
1.991984E-02  3.076478E-02  7.425767E-03
2.190381E-02  3.275422E-02  7.708157E-03
2.388778E-02  3.482339E-02  7.936100E-03
2.587174E-02  3.683298E-02  8.210139E-03
2.785571E-02  3.889676E-02  8.383606E-03
2.983968E-02  4.085876E-02  8.564209E-03
3.182365E-02  4.292861E-02  8.695299E-03
3.380762E-02  4.499541E-02  8.910663E-03
3.579158E-02  4.697317E-02  9.063758E-03
3.777555E-02  4.896395E-02  9.184695E-03
3.975952E-02  5.104420E-02  9.295378E-03
4.174349E-02  5.303834E-02  9.405489E-03
4.372745E-02  5.502838E-02  9.541989E-03
4.571142E-02  5.700702E-02  9.512976E-03
4.769539E-02  5.913978E-02  9.608881E-03
4.967936E-02  6.118223E-02  9.654207E-03
5.166333E-02  6.309267E-02  9.744455E-03
5.364729E-02  6.526848E-02  9.818128E-03
5.563126E-02  6.733025E-02  9.755507E-03
5.761523E-02  6.939189E-02  9.953207E-03
5.959920E-02  7.149103E-02  9.764501E-03
6.158317E-02  7.348377E-02  9.956071E-03
6.356713E-02  7.554328E-02  1.001514E-02
6.555110E-02  7.755598E-02  9.867343E-03
6.753507E-02  7.985698E-02  1.001900E-02
6.951904E-02  8.179147E-02  9.818920E-03
7.150301E-02  8.402639E-02  1.010717E-02
7.348697E-02  8.603793E-02  1.015485E-02
7.547094E-02  8.817571E-02  1.000261E-02
7.745491E-02  9.038788E-02  9.998928E-03
7.943888E-02  9.251460E-02  9.942664E-03
8.142285E-02  9.481884E-02  9.996559E-03
8.340681E-02  9.692773E-02  1.007750E-02
8.539078E-02  9.903025E-02  1.011328E-02
8.737475E-02  1.013117E-01  1.004042E-02
8.935872E-02  1.035295E-01  9.938796E-03
9.134269E-02  1.057168E-01  9.819500E-03
9.332665E-02  1.077290E-01  9.949021E-03
