# MMHT2014 NNLO Q=1.000
# x  w(x)  delta_w(x)
6.854882E-03  3.228822E-03  1.207432E-03
6.918310E-03  3.267839E-03  1.216362E-03
6.982324E-03  3.314058E-03  1.232212E-03
7.046931E-03  3.337951E-03  1.233583E-03
7.112135E-03  3.371348E-03  1.242744E-03
7.177943E-03  3.414627E-03  1.253159E-03
7.244360E-03  3.445714E-03  1.265728E-03
7.311391E-03  3.490476E-03  1.276722E-03
7.379042E-03  3.512939E-03  1.275295E-03
7.447320E-03  3.555995E-03  1.286705E-03
7.516229E-03  3.599978E-03  1.298489E-03
7.585776E-03  3.633782E-03  1.303685E-03
7.655966E-03  3.684088E-03  1.329734E-03
7.726806E-03  3.718135E-03  1.328937E-03
7.798301E-03  3.758538E-03  1.345537E-03
7.870458E-03  3.807658E-03  1.352249E-03
7.943282E-03  3.847725E-03  1.368680E-03
8.016781E-03  3.877948E-03  1.370712E-03
8.090959E-03  3.910858E-03  1.368602E-03
8.165824E-03  3.967814E-03  1.395900E-03
8.241381E-03  4.004892E-03  1.412857E-03
8.317638E-03  4.049320E-03  1.413028E-03
8.394600E-03  4.097139E-03  1.421867E-03
8.472274E-03  4.143046E-03  1.434848E-03
8.550667E-03  4.170432E-03  1.427120E-03
8.629785E-03  4.238327E-03  1.463887E-03
8.709636E-03  4.275146E-03  1.463024E-03
8.790225E-03  4.320867E-03  1.478560E-03
8.871560E-03  4.367623E-03  1.475578E-03
8.953648E-03  4.400978E-03  1.484795E-03
9.036495E-03  4.444513E-03  1.499262E-03
9.120108E-03  4.485551E-03  1.502957E-03
9.204496E-03  4.547915E-03  1.512573E-03
9.289664E-03  4.600025E-03  1.529318E-03
9.375620E-03  4.636789E-03  1.526569E-03
9.462372E-03  4.699964E-03  1.552749E-03
9.549926E-03  4.754614E-03  1.554289E-03
9.638290E-03  4.785766E-03  1.555338E-03
9.727472E-03  4.847928E-03  1.577120E-03
9.817479E-03  4.899353E-03  1.589591E-03
9.908319E-03  4.945120E-03  1.599006E-03
1.000000E-02  4.999490E-03  1.607497E-03
1.198397E-02  6.150254E-03  1.845573E-03
1.396794E-02  7.332533E-03  2.027841E-03
1.595190E-02  8.501902E-03  2.195464E-03
1.793587E-02  9.727004E-03  2.364028E-03
1.991984E-02  1.097852E-02  2.508779E-03
2.190381E-02  1.222181E-02  2.634490E-03
2.388778E-02  1.349860E-02  2.784642E-03
2.587174E-02  1.480154E-02  2.866574E-03
2.785571E-02  1.609781E-02  2.955244E-03
2.983968E-02  1.740866E-02  3.043359E-03
3.182365E-02  1.876795E-02  3.135191E-03
3.380762E-02  2.016001E-02  3.246010E-03
3.579158E-02  2.153313E-02  3.321298E-03
3.777555E-02  2.295684E-02  3.396483E-03
3.975952E-02  2.437151E-02  3.387703E-03
4.174349E-02  2.582360E-02  3.503068E-03
4.372745E-02  2.733772E-02  3.574500E-03
4.571142E-02  2.881975E-02  3.654131E-03
4.769539E-02  3.031613E-02  3.680189E-03
4.967936E-02  3.188241E-02  3.677916E-03
5.166333E-02  3.341519E-02  3.742769E-03
5.364729E-02  3.497893E-02  3.759777E-03
5.563126E-02  3.657920E-02  3.888902E-03
5.761523E-02  3.825067E-02  3.915050E-03
5.959920E-02  3.985440E-02  3.922529E-03
6.158317E-02  4.144586E-02  3.891108E-03
6.356713E-02  4.303506E-02  3.860218E-03
6.555110E-02  4.486309E-02  4.065617E-03
6.753507E-02  4.658487E-02  4.103932E-03
6.951904E-02  4.818809E-02  3.992891E-03
7.150301E-02  4.998693E-02  4.061164E-03
7.348697E-02  5.178809E-02  4.084607E-03
7.547094E-02  5.357380E-02  4.243071E-03
7.745491E-02  5.538425E-02  4.231382E-03
7.943888E-02  5.722620E-02  4.214561E-03
8.142285E-02  5.908292E-02  4.237419E-03
8.340681E-02  6.080028E-02  4.153045E-03
8.539078E-02  6.276486E-02  4.298350E-03
8.737475E-02  6.459426E-02  4.337508E-03
8.935872E-02  6.659593E-02  4.308497E-03
9.134269E-02  6.846634E-02  4.372451E-03
