NNPDFpol 1.1, Q = 3.162 GeV
x	 x(uv-dv)	 error
6.251727E-03	 3.469504E-02	 2.449294E-02
6.309573E-03	 3.491113E-02	 2.456717E-02
6.367955E-03	 3.512902E-02	 2.464194E-02
6.426877E-03	 3.534844E-02	 2.471735E-02
6.486344E-03	 3.556942E-02	 2.479339E-02
6.546362E-03	 3.579201E-02	 2.487007E-02
6.606934E-03	 3.601623E-02	 2.494739E-02
6.668068E-03	 3.624213E-02	 2.502535E-02
6.729767E-03	 3.646975E-02	 2.510395E-02
6.792036E-03	 3.669911E-02	 2.518318E-02
6.854882E-03	 3.693027E-02	 2.526306E-02
6.918310E-03	 3.716325E-02	 2.534356E-02
6.982324E-03	 3.739810E-02	 2.542471E-02
7.046931E-03	 3.763485E-02	 2.550648E-02
7.112135E-03	 3.787354E-02	 2.558888E-02
7.177943E-03	 3.811421E-02	 2.567191E-02
7.244360E-03	 3.835689E-02	 2.575556E-02
7.311391E-03	 3.860162E-02	 2.583983E-02
7.379042E-03	 3.884844E-02	 2.592472E-02
7.447320E-03	 3.909739E-02	 2.601022E-02
7.516229E-03	 3.934850E-02	 2.609632E-02
7.585776E-03	 3.960182E-02	 2.618302E-02
7.655966E-03	 3.985698E-02	 2.627048E-02
7.726806E-03	 4.011367E-02	 2.635885E-02
7.798301E-03	 4.037196E-02	 2.644811E-02
7.870458E-03	 4.063193E-02	 2.653822E-02
7.943282E-03	 4.089368E-02	 2.662917E-02
8.016781E-03	 4.115728E-02	 2.672093E-02
8.090959E-03	 4.142281E-02	 2.681348E-02
8.165824E-03	 4.169036E-02	 2.690677E-02
8.241381E-03	 4.196001E-02	 2.700079E-02
8.317638E-03	 4.223184E-02	 2.709551E-02
8.394600E-03	 4.250594E-02	 2.719088E-02
8.472274E-03	 4.278238E-02	 2.728689E-02
8.550667E-03	 4.306125E-02	 2.738348E-02
8.629785E-03	 4.334263E-02	 2.748064E-02
8.709636E-03	 4.362660E-02	 2.757831E-02
8.790225E-03	 4.391325E-02	 2.767647E-02
8.871560E-03	 4.420266E-02	 2.777507E-02
8.953648E-03	 4.449491E-02	 2.787408E-02
9.036495E-03	 4.479008E-02	 2.797346E-02
9.120108E-03	 4.508826E-02	 2.807316E-02
9.204496E-03	 4.538908E-02	 2.817337E-02
9.289664E-03	 4.569217E-02	 2.827428E-02
9.375620E-03	 4.599757E-02	 2.837589E-02
9.462372E-03	 4.630534E-02	 2.847817E-02
9.549926E-03	 4.661551E-02	 2.858111E-02
9.638290E-03	 4.692814E-02	 2.868470E-02
9.727472E-03	 4.724328E-02	 2.878891E-02
9.817479E-03	 4.756097E-02	 2.889374E-02
9.908319E-03	 4.788127E-02	 2.899916E-02
1.000000E-02	 4.820421E-02	 2.910516E-02
1.198397E-02	 5.512064E-02	 3.129503E-02
1.396794E-02	 6.192414E-02	 3.328818E-02
1.595190E-02	 6.863709E-02	 3.509644E-02
1.793587E-02	 7.521491E-02	 3.675966E-02
1.991984E-02	 8.173602E-02	 3.827116E-02
2.190381E-02	 8.818008E-02	 3.966414E-02
2.388778E-02	 9.454605E-02	 4.096187E-02
2.587174E-02	 1.008079E-01	 4.221453E-02
2.785571E-02	 1.069703E-01	 4.338211E-02
2.983968E-02	 1.130249E-01	 4.446043E-02
3.182365E-02	 1.189669E-01	 4.545354E-02
3.380762E-02	 1.247971E-01	 4.634799E-02
3.579158E-02	 1.304952E-01	 4.717849E-02
3.777555E-02	 1.360949E-01	 4.793039E-02
3.975952E-02	 1.416323E-01	 4.858093E-02
4.174349E-02	 1.471099E-01	 4.914340E-02
4.372745E-02	 1.525112E-01	 4.964455E-02
4.571142E-02	 1.578402E-01	 5.008382E-02
4.769539E-02	 1.631003E-01	 5.046141E-02
4.967936E-02	 1.682843E-01	 5.079774E-02
5.166333E-02	 1.733892E-01	 5.111016E-02
5.364729E-02	 1.784289E-01	 5.138373E-02
5.563126E-02	 1.834148E-01	 5.160521E-02
5.761523E-02	 1.883564E-01	 5.176314E-02
5.959920E-02	 1.932526E-01	 5.187145E-02
6.158317E-02	 1.980969E-01	 5.194788E-02
6.356713E-02	 2.028876E-01	 5.199223E-02
6.555110E-02	 2.076239E-01	 5.200414E-02
